# See the documentation on the wiki to learn how to edit this file.
#==============================
[SCIENTIST,Debug]
Pokemon = MAGIKARP,50
	Moves = WATERPULSE,WATERGUN18
	Name = W.Absorb
Pokemon = MAGIKARP,50
	Moves = EMBER,ICEBEAM
	Name = PkMnWoI
Pokemon = MAGIKARP,50
	Moves = EMBER18,ICEBEAM18
	Name = ThMnWoI
Pokemon = MAGIKARP,50
	Moves = THUNDERSHOCK,THUNDERBOLT18
	Name = V.Absorb
#-------------------------------
[KEINE,Keine Kamishirasawa]
Pokemon = CKEINE,18
Pokemon = CMOKOU,18
Pokemon = CKEINE,19
#-------------------
[PATROL1M,Kengo]
Pokemon = CNAZRIN,14
Pokemon = CKOTOHIME,15
#-------------------
[PATROL1M,Ryou]
Pokemon = CCHEN,15
Pokemon = CMAMIZOU,16
#-------------------
[PATROL1M,Taketo]
Pokemon = CKEINE,18
#-------------------
[PATROL2M,Takumi]
Pokemon = CKYOUKO,17
Pokemon = CKOGASA,17
Pokemon = CREIMU,18
#-------------------
[PATROL1F,Tsukimi]
Pokemon = CNAZRIN,15
Pokemon = CKOGASA,16
#-------------------
[PATROL1F,Asami]
Pokemon = CKOTOHIME,18
#-------------------
[PATROL1F,Riko]
Pokemon = CKYOUKO,15
Pokemon = AKYUU,17
#-------------------
[PATROL2F,Hinoka]
Pokemon = CKOTOHIME,17
Pokemon = CMAMIZOU,17
Pokemon = CMARISA,18
#-------------------
[MARISA,Marisa Kirisame]
Pokemon = CALICE,21
Pokemon = RINNOSUKE,22
Pokemon = CMARISA,24
	Moves = THUNDERSHOCK18,BATTCHARGE18,THIEF18,MIMIC18
#-------------------
[FAIRY1,Koko]
Pokemon = CMYSTIA,18
Pokemon = CCIRNO,19
Pokemon = CMYSTIA,19
#-------------------
[FAIRY2,Tail]
Pokemon = CDAIYOUSEI,21
Pokemon = CWRIGGLE,19
Pokemon = CSTAR,21
Pokemon = CCIRNO,22
#-------------------
[FAIRY1,Rose]
Pokemon = CLUNA,20
Pokemon = CSTAR,20
Pokemon = CSUNNY,20
#-------------------
[FAIRY1,Miria]
Pokemon = CWRIGGLE,22
Pokemon = CWRIGGLE,22
#-------------------
[FAIRY1,Honoka]
Pokemon = CDAIYOUSEI,21
Pokemon = CMYSTIA,21
Pokemon = CCIRNO,23
#-------------------
[FAIRY2,Ibuki]
Pokemon = CMYSTIA,24
#-------------------
[FAIRY1,Aniya]
Pokemon = CLUNA,22
Pokemon = CLUNA,23
#-------------------
[YOUMU,Youmu Konpaku]
Pokemon = CMEIRA,23
Pokemon = CYOUMU,24
Pokemon = CMOMIJI,25
Pokemon = CREISEN,25
#-------------------
[FAIRY1,Erina]
Pokemon = CMEILING,21
Pokemon = CLUNASA,22
Pokemon = CFUTO,23
#-------------------
[FAIRY1,Noelle]
Pokemon = CDAIYOUSEI,22
Pokemon = CCIRNO,22
#-------------------
[FAIRY2,Izumi]
Pokemon = CKEINE,22
Pokemon = CKASEN,23
Pokemon = CMAMIZOU,24
#-------------------
[FAIRY1,Himawari]
Pokemon = CLILYBLACK,22
Pokemon = CLILYBLACK,23
#-------------------
[FAIRY2,Rena]
Pokemon = CMOKOU,23
Pokemon = CMYSTIA,24
Pokemon = CYUMEKO,24
Pokemon = CSAKUYA,23
#-------------------
[FAIRY2,Kotori]
Pokemon = CMYSTIA,23
Pokemon = CTOKIKO,23
Pokemon = TORI,25
#-------------------
[FAIRY1,Aki]
Pokemon = CKOGASA,22
Pokemon = CKOKORO,22
#-------------------
[FAIRY1,Saya]
Pokemon = CKASEN,23
Pokemon = CPATCHOULI,24
Pokemon = CLYRICA,24
#-------------------
[FAIRY3,Nozomi]
Pokemon = CKANA,24
Pokemon = CYOUMU,25
Pokemon = CKANA,25
#-------------------
[FAIRY1,Uzuki]
Pokemon = CTEWI,25
Pokemon = CRUMIA,25
Pokemon = CTEWI,26
Pokemon = CRUMIA,26
#-------------------
[FAIRY1,Midori]
Pokemon = CMEILING,26
Pokemon = CTOJIKO,26
#-------------------
[FAIRY3,Akane]
Pokemon = CKOGASA,25
Pokemon = CRIN,26
#-------------------
[FAIRY2,Naomi]
Pokemon = CMOKOU,27
Pokemon = CREIMU,27
Pokemon = CYUUKA,29
